"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Tipos de cambio",,,,,,
"Índice tipo de cambio efectivo real",,,,,,
"Unidad de medida: Niveles del índice y variaciones en porcentajes",,,,,,
Fechas,Guatemala,,,,,,,,,,,
,"ITCER con USA","ITCER global","ITCER con la región CAPARD","ITCER con el resto del mundo","ITCER con USA, variación interanual","ITCER global, variación interanual","ITCER con la región CAPARD, variación interanual","ITCER con el resto del mundo, variación interanual","ITCER con USA, variación con el año base","ITCER global, variación con el año base","ITCER con la región CAPARD, variación con el año base","ITCER con el resto del mundo, variación con el año base"
2013-Octubre,63.10,68.37,74.53,66.63,-2.00,-1.78,-1.60,-1.77,-36.90,-31.63,-25.47,-33.37
2013-Noviembre,62.18,67.34,73.69,65.55,-2.96,-2.94,-2.70,-2.95,-37.82,-32.66,-26.31,-34.45
2013-Diciembre,61.70,66.98,73.30,65.20,-3.15,-3.38,-3.05,-3.42,-38.30,-33.02,-26.70,-34.80
2014-Enero,61.67,67.00,73.33,65.18,-2.90,-3.12,-2.81,-3.27,-38.33,-33.00,-26.67,-34.82
2014-Febrero,61.09,66.15,72.13,64.42,-3.16,-3.41,-3.45,-3.45,-38.91,-33.85,-27.87,-35.58
2014-Marzo,61.12,65.99,71.40,64.42,-2.69,-3.14,-4.08,-2.90,-38.88,-34.01,-28.60,-35.58
2014-Abril,61.36,66.35,71.63,64.81,-1.87,-2.43,-3.42,-2.18,-38.64,-33.65,-28.37,-35.19
2014-Mayo,61.34,66.31,71.43,64.82,-1.72,-2.01,-3.35,-1.66,-38.66,-33.69,-28.57,-35.18
2014-Junio,61.68,66.64,71.93,65.11,-1.17,-0.85,-2.49,-0.41,-38.32,-33.36,-28.07,-34.89
2014-Julio,61.05,66.11,71.70,64.50,-2.00,-1.43,-2.53,-1.15,-38.95,-33.89,-28.30,-35.50
2014-Agosto,60.93,65.91,71.76,64.23,-3.11,-2.74,-3.41,-2.59,-39.07,-34.09,-28.24,-35.77
2014-Setiembre,60.29,64.90,70.83,63.19,-4.48,-4.62,-4.86,-4.59,-39.71,-35.10,-29.17,-36.81
2014-Octubre,59.41,63.73,69.88,61.96,-5.84,-6.79,-6.23,-7.01,-40.59,-36.27,-30.12,-38.04
2014-Noviembre,58.79,62.91,69.53,61.02,-5.44,-6.58,-5.65,-6.91,-41.21,-37.09,-30.47,-38.98
2014-Diciembre,58.57,62.09,69.28,60.05,-5.08,-7.30,-5.49,-7.90,-41.43,-37.91,-30.72,-39.95
2015-Enero,58.64,62.15,69.27,60.11,-4.92,-7.24,-5.53,-7.78,-41.36,-37.85,-30.73,-39.89
2015-Febrero,58.72,61.87,68.96,59.84,-3.88,-6.47,-4.39,-7.11,-41.28,-38.13,-31.04,-40.16
2015-Marzo,58.82,61.39,69.04,59.21,-3.76,-6.97,-3.31,-8.09,-41.18,-38.61,-30.96,-40.79
2015-Abril,59.35,62.07,69.54,59.94,-3.27,-6.44,-2.91,-7.51,-40.65,-37.93,-30.46,-40.06
2015-Mayo,59.33,62.00,69.28,59.92,-3.28,-6.50,-3.02,-7.56,-40.67,-38.00,-30.72,-40.08
2015-Junio,59.07,61.43,68.77,59.33,-4.24,-7.82,-4.39,-8.86,-40.93,-38.57,-31.23,-40.67
2015-Julio,58.77,60.67,68.38,58.48,-3.73,-8.23,-4.64,-9.33,-41.23,-39.33,-31.62,-41.52
2015-Agosto,58.65,60.10,68.16,57.82,-3.74,-8.82,-5.01,-9.98,-41.35,-39.90,-31.84,-42.18
2015-Setiembre,58.89,60.23,68.33,57.94,-2.31,-7.19,-3.54,-8.30,-41.11,-39.77,-31.67,-42.06
2015-Octubre,58.50,60.20,68.29,57.91,-1.54,-5.54,-2.28,-6.54,-41.50,-39.80,-31.71,-42.09
2015-Noviembre,57.81,59.28,67.59,56.93,-1.67,-5.78,-2.79,-6.70,-42.19,-40.72,-32.41,-43.07
2015-Diciembre,57.17,58.48,67.00,56.09,-2.39,-5.81,-3.29,-6.60,-42.83,-41.52,-33.00,-43.91
2016-Enero,57.00,58.05,66.67,55.57,-2.79,-6.59,-3.76,-7.55,-43.00,-41.95,-33.33,-44.43
2016-Febrero,57.04,58.22,66.60,55.81,-2.87,-5.89,-3.42,-6.74,-42.96,-41.78,-33.40,-44.19
2016-Marzo,57.56,59.15,66.91,56.90,-2.15,-3.64,-3.08,-3.90,-42.44,-40.85,-33.09,-43.10
2016-Abril,57.84,59.60,66.96,57.45,-2.55,-3.99,-3.71,-4.16,-42.16,-40.40,-33.04,-42.55
2016-Mayo,57.17,58.47,65.98,56.29,-3.63,-5.69,-4.75,-6.07,-42.83,-41.53,-34.02,-43.71
2016-Junio,57.07,58.07,65.52,55.91,-3.39,-5.46,-4.72,-5.78,-42.93,-41.93,-34.48,-44.09
2016-Julio,56.25,57.28,64.64,55.13,-4.29,-5.59,-5.47,-5.72,-43.75,-42.72,-35.36,-44.87
