Secretaría Ejecutiva del Consejo Monetario Centroamericano,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precios,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Índice de precios al consumidor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidad de medida: Niveles del índice y variaciones en porcentajes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fechas,Costa Rica,,,,El Salvador,,,,Guatemala,,,,Honduras,,,,Nicaragua,,,,República Dominicana,,,,Panamá,,,
,IPC general,IPC variación mensual,IPC variación interanual,IPC variación acumulada con diciembre anterior,IPC general,IPC variación mensual,IPC variación interanual,IPC variación acumulada con diciembre anterior,IPC general,IPC variación mensual,IPC variación interanual,IPC variación acumulada con diciembre anterior,IPC general,IPC variación mensual,IPC variación interanual,IPC variación acumulada con diciembre anterior,IPC general,IPC variación mensual,IPC variación interanual,IPC variación acumulada con diciembre anterior,IPC general,IPC variación mensual,IPC variación interanual,IPC variación acumulada con diciembre anterior,IPC general,IPC variación mensual,IPC variación interanual,IPC variación acumulada con diciembre anterior
1994-Abril,12.26,0.97,11.24,4.41,53.64,0.88,9.40,0.62,32.00,1.19,13.91,4.92,36.59,2.78,17.58,8.45,31.89,0.25,4.73,2.44,14.42,1.16,7.20,4.05,61.82,0.38,1.14,0.38
1994-Mayo,12.43,1.36,11.67,5.83,53.64,0,8.04,0.62,32.25,0.79,14.14,5.75,38.03,3.94,21.15,12.71,32.08,0.60,4.33,3.05,14.57,1.03,7.95,5.12,61.93,0.19,1.33,0.57
1994-Junio,12.63,1.63,12.03,7.56,54.10,0.86,6.14,1.48,32.35,0.31,11.79,6.08,38.80,2.02,21.82,15.00,32.81,2.28,8.18,5.40,14.70,0.90,8.19,6.06,61.93,0,1.24,0.57
1994-Julio,12.75,0.92,11.83,8.55,54.51,0.76,4.77,2.25,32.50,0.45,9.70,6.56,39.86,2.73,21.49,18.14,32.85,0.12,6.21,5.53,14.73,0.18,7.86,6.26,61.99,0.09,1.14,0.66
1994-Agosto,12.98,1.84,13.47,10.54,55.26,1.37,6.02,3.65,32.89,1.20,10.74,7.84,40.70,2.11,22.70,20.63,33.39,1.64,7.74,7.26,14.90,1.15,9.14,7.48,62.11,0.19,1.52,0.85
1994-Setiembre,13.26,2.14,16.26,12.91,55.21,-0.08,5.91,3.57,33.11,0.67,11.97,8.57,40.97,0.66,24.23,21.43,33.89,1.50,8.83,8.87,15.10,1.34,9.96,8.91,62.11,0,1.81,0.85
1994-Octubre,13.45,1.44,16.81,14.53,55.83,1.12,6.00,4.72,33.40,0.87,12.31,9.52,41.68,1.73,25.50,23.53,34.47,1.71,10.59,10.73,15.28,1.20,10.78,10.22,62.17,0.09,1.04,0.95
1994-Noviembre,13.65,1.50,17.30,16.25,55.80,-0.05,5.70,4.67,33.87,1.43,12.44,11.08,42.97,3.10,28.15,27.36,35.02,1.60,12.21,12.50,15.41,0.84,11.43,11.15,62.40,0.37,1.42,1.32
1994-Diciembre,14.08,3.10,19.86,19.86,56.10,0.54,5.23,5.23,34.03,0.46,11.59,11.59,43.50,1.23,28.93,28.93,34.99,-0.09,12.40,12.40,15.85,2.85,14.31,14.31,62.40,0,1.32,1.32
1995-Enero,14.66,4.18,23.79,4.18,56.55,0.80,3.89,0.80,34.05,0.06,9.32,0.06,44.75,2.87,30.80,2.87,35.13,0.40,11.84,0.40,16.09,1.54,15.27,1.54,62.11,-0.47,0.85,-0.47
