Secretaría Ejecutiva del Consejo Monetario Centroamericano,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precios,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Índice de precios al consumidor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidad de medida: Niveles del índice y variaciones en porcentajes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fechas,Costa Rica,,,,El Salvador,,,,Guatemala,,,,Honduras,,,,Nicaragua,,,,República Dominicana,,,,Panamá,,,
,IPC general,IPC variación mensual,IPC variación interanual,IPC variación acumulada con diciembre anterior,IPC general,IPC variación mensual,IPC variación interanual,IPC variación acumulada con diciembre anterior,IPC general,IPC variación mensual,IPC variación interanual,IPC variación acumulada con diciembre anterior,IPC general,IPC variación mensual,IPC variación interanual,IPC variación acumulada con diciembre anterior,IPC general,IPC variación mensual,IPC variación interanual,IPC variación acumulada con diciembre anterior,IPC general,IPC variación mensual,IPC variación interanual,IPC variación acumulada con diciembre anterior,IPC general,IPC variación mensual,IPC variación interanual,IPC variación acumulada con diciembre anterior
2007-Julio,59.44,0.93,8.75,5.62,92.96,0.72,3.16,2.62,82.95,0.71,5.59,3.72,178.80,0.68,6.30,4.38,105.83,0.81,9.76,6.97,60.24,0.26,5.24,4.65,74.75,0.45,4.14,3.46
2007-Agosto,59.85,0.70,8.56,6.36,92.81,-0.16,3.56,2.45,83.72,0.92,6.21,4.68,180.10,0.73,6.69,5.14,106.12,0.27,9.87,7.27,59.85,-0.64,4.36,3.98,74.88,0.18,4.23,3.64
2007-Setiembre,60.23,0.63,9.43,7.04,93.45,0.69,4.31,3.16,84.28,0.67,7.33,5.38,180.80,0.39,7.11,5.55,107.32,1.13,11.56,8.48,60.58,1.22,6.81,5.25,75.29,0.54,5.19,4.21
2007-Octubre,60.58,0.57,9.84,7.65,94.11,0.70,5.46,3.88,84.57,0.34,7.72,5.74,183.00,1.22,8.28,6.83,109.53,2.06,13.35,10.71,60.87,0.48,7.21,5.75,75.69,0.54,5.46,4.77
2007-Noviembre,61.33,1.24,10.09,8.98,95.39,1.37,6.22,5.30,86.17,1.89,9.13,7.73,186.20,1.75,9.59,8.70,114.24,4.30,17.34,15.48,61.96,1.80,8.45,7.65,76.50,1.07,6.48,5.89
2007-Diciembre,62.35,1.67,10.81,10.81,94.99,-0.42,4.86,4.86,86.98,0.94,8.75,8.75,186.50,0.16,8.87,8.87,115.62,1.21,16.87,16.87,62.67,1.14,8.88,8.88,76.84,0.44,6.36,6.36
2008-Enero,62.81,0.73,10.56,0.73,95.99,1.05,4.75,1.05,87.83,0.98,8.39,0.98,187.70,0.64,8.87,0.64,117.05,1.24,17.28,1.24,63.35,1.09,9.05,1.09,77.92,1.41,7.65,1.41
2008-Febrero,63.51,1.11,11.40,1.85,96.76,0.80,5.82,1.86,88.44,0.70,8.76,1.69,189.70,1.07,9.04,1.72,119.51,2.10,18.35,3.36,63.33,-0.03,8.68,1.06,78.66,0.95,8.37,2.37
2008-Marzo,63.76,0.39,11.04,2.25,97.51,0.78,5.99,2.65,89.48,1.17,9.10,2.87,191.40,0.90,9.25,2.63,121.42,1.60,18.91,5.02,64.42,1.71,9.67,2.79,79.61,1.20,8.76,3.60
2008-Abril,64.30,0.84,10.95,3.12,98.32,0.83,6.79,3.51,90.74,1.41,10.37,4.32,193.30,0.99,9.70,3.65,123.10,1.38,19.35,6.47,65.63,1.88,10.83,4.72,79.95,0.42,8.52,4.04
2008-Mayo,65.52,1.91,11.90,5.08,99.39,1.09,8.40,4.63,92.04,1.43,12.24,5.82,196.80,1.81,11.25,5.52,126.53,2.79,21.75,9.44,65.85,0.33,10.03,5.07,80.62,0.84,8.84,4.92
2008-Junio,66.44,1.40,12.82,6.55,100.63,1.25,9.02,5.94,93.53,1.63,13.56,7.54,199.20,1.22,12.16,6.81,129.22,2.13,23.09,11.76,67.41,2.38,12.20,7.57,81.57,1.17,9.62,6.15
2008-Julio,67.86,2.14,14.17,8.83,101.92,1.28,9.64,7.30,94.70,1.24,14.16,8.88,203.40,2.11,13.76,9.06,130.84,1.25,23.63,13.16,68.51,1.62,13.73,9.31,81.90,0.41,9.58,6.59
2008-Agosto,69.07,1.79,15.40,10.77,101.99,0.07,9.89,7.37,95.18,0.51,13.69,9.43,205.30,0.93,13.99,10.08,131.50,0.50,23.92,13.73,68.57,0.09,14.57,9.41,82.24,0.41,9.83,7.03
2008-Setiembre,69.73,0.95,15.77,11.83,101.56,-0.42,8.68,6.92,95.03,-0.16,12.75,9.26,205.60,0.15,13.72,10.24,131.78,0.21,22.79,13.98,69.41,1.23,14.58,10.76,82.85,0.74,10.04,7.82
2008-Octubre,70.45,1.04,16.30,12.99,101.08,-0.48,7.41,6.41,95.50,0.50,12.93,9.80,206.90,0.63,13.06,10.94,131.75,-0.02,20.29,13.95,68.68,-1.05,12.84,9.60,82.85,0,9.46,7.82
2008-Noviembre,71.32,1.24,16.30,14.38,100.44,-0.63,5.29,5.74,95.51,0.01,10.85,9.81,206.50,-0.19,10.90,10.72,131.86,0.08,15.42,14.05,66.43,-3.28,7.21,6.01,82.38,-0.57,7.68,7.21
2008-Diciembre,71.02,-0.42,13.90,13.90,100.19,-0.25,5.47,5.47,95.15,-0.38,9.40,9.40,206.70,0.10,10.83,10.83,131.55,-0.24,13.78,13.78,65.50,-1.40,4.52,4.52,82.04,-0.41,6.77,6.77
2009-Enero,71.29,0.38,13.50,0.38,99.65,-0.54,3.81,-0.54,94.75,-0.42,7.88,-0.42,206.60,-0.05,10.07,-0.05,131.63,0.06,12.46,0.06,65.68,0.28,3.68,0.28,81.77,-0.33,4.94,-0.33
2009-Febrero,71.60,0.44,12.75,0.82,99.53,-0.12,2.86,-0.66,94.19,-0.59,6.50,-1.01,208.20,0.77,9.75,0.73,132.39,0.58,10.78,0.64,65.89,0.31,4.03,0.59,82.04,0.33,4.29,0
2009-Marzo,71.61,0.01,12.32,0.83,100.00,0.47,2.55,-0.19,93.95,-0.26,5.00,-1.26,208.20,0,8.78,0.73,131.69,-0.53,8.46,0.11,65.99,0.16,2.44,0.74,82.58,0.66,3.73,0.66
2009-Abril,71.85,0.33,11.75,1.17,100.08,0.08,1.79,-0.11,94.02,0.08,3.62,-1.18,208.90,0.34,8.07,1.06,131.57,-0.09,6.88,0.02,66.08,0.14,0.69,0.89,82.92,0.41,3.72,1.07
2009-Mayo,71.76,-0.12,9.52,1.04,100.36,0.28,0.98,0.17,94.15,0.13,2.29,-1.05,208.90,0,6.15,1.06,131.71,0.11,4.09,0.12,66.16,0.11,0.47,1.00,82.65,-0.33,2.51,0.74
2009-Junio,71.88,0.17,8.20,1.21,100.40,0.04,-0.23,0.21,94.11,-0.04,0.62,-1.09,210.00,0.53,5.42,1.60,131.75,0.03,1.96,0.15,67.59,2.16,0.26,3.19,83.05,0.49,1.82,1.23
2009-Julio,72.54,0.92,6.90,2.14,99.99,-0.41,-1.89,-0.20,94.41,0.32,-0.30,-0.78,211.50,0.71,3.98,2.32,130.94,-0.61,0.08,-0.46,67.67,0.12,-1.22,3.31,83.46,0.49,1.90,1.73
2009-Agosto,73.02,0.65,5.71,2.81,99.79,-0.20,-2.16,-0.40,94.48,0.07,-0.73,-0.70,211.70,0.09,3.12,2.42,131.34,0.31,-0.12,-0.16,68.25,0.85,-0.47,4.19,83.73,0.32,1.81,2.06
2009-Setiembre,73.10,0.11,4.83,2.92,99.73,-0.06,-1.80,-0.46,95.06,0.61,0.03,-0.10,211.90,0.09,3.06,2.52,131.79,0.34,0.01,0.18,68.32,0.11,-1.57,4.31,83.25,-0.56,0.49,1.48
2009-Octubre,73.27,0.23,4.00,3.16,99.03,-0.71,-2.03,-1.16,94.88,-0.19,-0.65,-0.29,212.40,0.24,2.66,2.76,132.31,0.39,0.43,0.58,68.48,0.23,-0.30,4.55,83.46,0.24,0.73,1.73
2009-Noviembre,73.15,-0.16,2.57,3.00,100.41,1.40,-0.03,0.22,94.93,0.06,-0.61,-0.23,212.90,0.24,3.10,3.00,132.47,0.12,0.46,0.70,69.21,1.07,4.18,5.66,83.52,0.08,1.39,1.81
2009-Diciembre,73.90,1.02,4.05,4.05,100.00,-0.41,-0.19,-0.19,94.89,-0.05,-0.28,-0.28,212.80,-0.05,2.95,2.95,132.78,0.23,0.93,0.93,69.28,0.10,5.76,5.76,83.59,0.08,1.89,1.89
2010-Enero,75.10,1.63,5.34,1.63,100.44,0.44,0.79,0.44,96.11,1.29,1.43,1.29,214.00,0.56,3.58,0.56,134.07,0.97,1.85,0.97,70.19,1.31,6.85,1.31,84.27,0.81,3.06,0.81
2010-Febrero,75.61,0.69,5.60,2.32,100.57,0.13,1.04,0.57,96.53,0.44,2.48,1.73,215.50,0.70,3.51,1.27,136.02,1.46,2.74,2.44,70.28,0.14,6.68,1.45,84.47,0.24,2.96,1.05
2010-Marzo,75.80,0.24,5.84,2.57,100.89,0.32,0.89,0.89,97.64,1.15,3.93,2.90,216.50,0.46,3.99,1.74,137.52,1.10,4.42,3.57,70.89,0.86,7.43,2.33,84.81,0.40,2.70,1.45
2010-Abril,75.84,0.06,5.56,2.63,100.71,-0.18,0.63,0.71,97.55,-0.09,3.75,2.81,217.60,0.51,4.16,2.26,137.95,0.31,4.85,3.89,71.14,0.36,7.66,2.69,85.08,0.32,2.61,1.78
2010-Mayo,76.23,0.52,6.23,3.16,100.50,-0.21,0.14,0.50,97.45,-0.10,3.51,2.70,218.00,0.18,4.36,2.44,137.87,-0.06,4.68,3.83,71.38,0.34,7.90,3.04,85.28,0.24,3.19,2.02
2010-Junio,76.42,0.24,6.31,3.41,100.96,0.46,0.56,0.96,97.94,0.50,4.07,3.22,218.90,0.41,4.24,2.87,137.85,-0.01,4.63,3.82,71.26,-0.17,5.44,2.87,85.35,0.08,2.76,2.10
2010-Julio,76.66,0.32,5.68,3.75,100.98,0.02,0.99,0.98,98.30,0.37,4.12,3.60,220.30,0.64,4.16,3.52,139.06,0.87,6.20,4.73,71.51,0.34,5.67,3.22,86.29,1.11,3.40,3.23
2010-Agosto,76.82,0.20,5.21,3.95,100.81,-0.17,1.02,0.81,98.35,0.05,4.10,3.65,221.30,0.45,4.53,3.99,138.35,-0.50,5.34,4.20,71.66,0.22,5.01,3.45,86.77,0.55,3.63,3.80
2010-Setiembre,76.75,-0.08,5.00,3.87,101.11,0.30,1.38,1.11,98.63,0.28,3.76,3.95,222.60,0.59,5.05,4.61,138.94,0.42,5.43,4.64,72.22,0.77,5.70,4.24,86.77,0,4.22,3.80
2010-Octubre,77.12,0.47,5.25,4.36,101.78,0.66,2.78,1.78,99.15,0.53,4.51,4.49,224.70,0.94,5.79,5.59,141.92,2.14,7.26,6.88,72.70,0.67,6.17,4.95,86.90,0.16,4.13,3.96
2010-Noviembre,77.62,0.66,6.11,5.04,102.24,0.45,1.82,2.24,99.92,0.78,5.26,5.31,226.60,0.85,6.43,6.48,144.11,1.55,8.79,8.54,72.93,0.31,5.37,5.27,87.10,0.23,4.28,4.20
2010-Diciembre,78.20,0.74,5.82,5.82,102.13,-0.11,2.13,2.13,100.00,0.08,5.39,5.39,226.60,0,6.48,6.48,145.03,0.64,9.23,9.23,73.60,0.92,6.24,6.24,87.71,0.70,4.93,4.93
2011-Enero,78.73,0.68,4.84,0.68,102.77,0.63,2.32,0.63,100.82,0.82,4.90,0.82,227.60,0.44,6.36,0.44,144.82,-0.15,8.02,-0.15,74.51,1.24,6.17,1.24,88.32,0.69,4.81,0.69
2011-Febrero,79.07,0.44,4.57,1.12,102.96,0.18,2.38,0.81,101.58,0.75,5.23,1.58,229.20,0.70,6.36,1.15,145.85,0.71,7.22,0.56,75.41,1.20,7.29,2.46,88.66,0.38,4.96,1.08
2011-Marzo,79.27,0.25,4.58,1.37,103.63,0.65,2.72,1.47,102.52,0.93,5.00,2.52,230.80,0.70,6.61,1.85,146.79,0.64,6.74,1.21,76.28,1.16,7.61,3.64,89.47,0.91,5.49,2.00
2011-Abril,79.39,0.15,4.68,1.53,106.71,2.97,5.96,4.48,103.17,0.63,5.76,3.17,233.40,1.13,7.26,3.00,147.76,0.66,7.11,1.88,76.95,0.87,8.16,4.55,90.41,1.06,6.27,3.08
2011-Mayo,79.93,0.67,4.85,2.21,107.23,0.49,6.70,4.99,103.68,0.49,6.39,3.68,234.80,0.60,7.71,3.62,149.30,1.04,8.29,2.94,77.12,0.22,8.03,4.78,90.75,0.37,6.41,3.46
2011-Junio,80.37,0.56,5.18,2.78,107.29,0.06,6.27,5.05,104.23,0.53,6.42,4.23,235.80,0.43,7.72,4.06,150.28,0.66,9.01,3.62,77.90,1.02,9.32,5.85,90.88,0.15,6.49,3.62
2011-Julio,80.65,0.34,5.19,3.13,107.57,0.26,6.53,5.33,105.22,0.95,7.04,5.22,237.40,0.68,7.76,4.77,150.81,0.36,8.46,3.99,78.57,0.85,9.87,6.75,90.95,0.07,5.40,3.70
2011-Agosto,80.85,0.26,5.25,3.39,107.69,0.11,6.82,5.44,105.85,0.60,7.63,5.85,238.30,0.38,7.68,5.16,151.77,0.63,9.69,4.64,78.96,0.50,10.18,7.28,91.36,0.45,5.29,4.16
2011-Setiembre,80.73,-0.16,5.17,3.23,107.40,-0.27,6.22,5.16,105.78,-0.07,7.25,5.78,237.80,-0.21,6.83,4.94,152.13,0.24,9.50,4.90,79.13,0.21,9.57,7.51,92.03,0.74,6.07,4.93
2011-Octubre,80.92,0.24,4.93,3.47,107.32,-0.07,5.44,5.08,105.74,-0.04,6.65,5.74,238.00,0.08,5.92,5.03,152.78,0.43,7.66,5.34,79.15,0.03,8.86,7.54,92.23,0.22,6.14,5.16
2011-Noviembre,81.16,0.30,4.56,3.79,107.48,0.15,5.13,5.24,105.97,0.22,6.05,5.97,238.90,0.38,5.43,5.43,154.70,1.25,7.34,6.66,79.22,0.09,8.63,7.64,93.05,0.88,6.82,6.08
2011-Diciembre,81.90,0.92,4.74,4.74,107.29,-0.18,5.05,5.05,106.20,0.22,6.20,6.20,239.30,0.17,5.60,5.60,156.57,1.21,7.95,7.95,79.31,0.11,7.76,7.76,93.25,0.22,6.31,6.31
2012-Enero,82.05,0.17,4.21,0.17,107.65,0.34,4.75,0.34,106.30,0.09,5.44,0.09,239.80,0.21,5.36,0.21,156.77,0.13,8.25,0.13,79.66,0.44,6.90,0.44,93.72,0.51,6.12,0.51
2012-Febrero,82.28,0.28,4.05,0.46,108.00,0.33,4.90,0.66,106.83,0.50,5.17,0.59,242.10,0.96,5.63,1.17,158.69,1.23,8.81,1.36,79.94,0.35,6.00,0.79,94.33,0.65,6.40,1.16
2012-Marzo,82.61,0.40,4.21,0.86,108.16,0.15,4.37,0.81,107.18,0.33,4.55,0.92,243.90,0.74,5.68,1.92,159.33,0.40,8.55,1.77,80.05,0.15,4.94,0.94,95.14,0.86,6.34,2.03
2012-Abril,83.13,0.63,4.71,1.50,108.83,0.62,1.99,1.44,107.58,0.37,4.27,1.30,246.60,1.11,5.66,3.05,161.03,1.06,8.98,2.85,80.06,0.01,4.05,0.95,95.81,0.71,5.97,2.75
2012-Mayo,83.95,0.99,5.04,2.50,108.53,-0.28,1.21,1.16,107.72,0.13,3.90,1.43,246.90,0.12,5.15,3.18,160.53,-0.31,7.53,2.53,79.85,-0.27,3.54,0.68,96.22,0.42,6.03,3.19
2012-Junio,84.08,0.16,4.61,2.66,107.94,-0.54,0.61,0.61,107.85,0.12,3.47,1.55,246.90,0,4.71,3.18,160.00,-0.34,6.46,2.19,80.02,0.21,2.71,0.89,96.15,-0.07,5.79,3.11
2012-Julio,83.83,-0.30,3.95,2.35,107.61,-0.31,0.04,0.30,108.23,0.35,2.86,1.91,247.10,0.08,4.09,3.26,160.42,0.27,6.37,2.46,79.85,-0.20,1.64,0.69,96.42,0.28,6.01,3.40
2012-Agosto,84.27,0.53,4.23,2.89,107.80,0.18,0.10,0.48,108.72,0.45,2.71,2.37,248.60,0.61,4.32,3.89,160.82,0.25,5.97,2.72,80.66,1.01,2.16,1.71,96.89,0.49,6.06,3.91
2012-Setiembre,84.33,0.07,4.47,2.96,108.24,0.41,0.78,0.89,109.25,0.49,3.28,2.87,250.40,0.72,5.30,4.64,161.88,0.66,6.41,3.39,81.19,0.65,2.60,2.37,96.96,0.07,5.36,3.98
2012-Octubre,84.71,0.45,4.68,3.42,108.33,0.08,0.94,0.97,109.28,0.03,3.35,2.90,251.50,0.44,5.67,5.10,162.67,0.49,6.47,3.90,81.38,0.24,2.82,2.61,97.10,0.14,5.27,4.13
2012-Noviembre,85.39,0.81,5.22,4.26,108.18,-0.14,0.65,0.83,109.27,-0.01,3.11,2.89,251.90,0.16,5.44,5.27,164.23,0.96,6.16,4.90,81.89,0.63,3.37,3.26,97.23,0.14,4.50,4.27
2012-Diciembre,85.63,0.28,4.55,4.55,108.13,-0.05,0.78,0.78,109.86,0.54,3.45,3.45,252.20,0.12,5.39,5.39,166.93,1.64,6.62,6.62,82.41,0.63,3.91,3.91,97.57,0.35,4.63,4.63
2013-Enero,86.75,1.31,5.74,1.31,108.59,0.43,0.87,0.43,110.40,0.49,3.86,0.49,253.40,0.48,5.67,0.48,168.91,1.19,7.74,1.19,83.45,1.26,4.76,1.26,98.11,0.55,4.68,0.55
2013-Febrero,87.64,1.02,6.52,2.34,109.05,0.42,0.97,0.85,111.30,0.82,4.18,1.31,256.10,1.07,5.78,1.55,169.93,0.60,7.08,1.80,83.72,0.33,4.73,1.59,98.65,0.55,4.58,1.11
2013-Marzo,87.73,0.11,6.21,2.46,109.54,0.45,1.28,1.30,111.83,0.48,4.34,1.79,257.50,0.55,5.58,2.10,170.16,0.14,6.79,1.94,84.03,0.38,4.97,1.97,99.05,0.41,4.12,1.52
2013-Abril,88.37,0.73,6.31,3.20,108.85,-0.63,0.02,0.67,112.02,0.17,4.13,1.97,258.10,0.23,4.66,2.34,171.24,0.64,6.34,2.58,83.98,-0.06,4.90,1.91,99.39,0.34,3.74,1.87
2013-Mayo,88.39,0.02,5.28,3.22,108.69,-0.15,0.15,0.52,112.32,0.27,4.27,2.24,258.80,0.27,4.82,2.62,172.94,0.99,7.73,3.60,83.83,-0.18,4.99,1.72,99.80,0.41,3.72,2.28
2013-Junio,88.40,0.02,5.14,3.24,108.91,0.20,0.90,0.72,113.02,0.62,4.79,2.88,259.90,0.43,5.27,3.05,173.25,0.18,8.29,3.79,83.86,0.04,4.80,1.76,100.14,0.34,4.14,2.63
2013-Julio,88.70,0.34,5.81,3.59,108.78,-0.12,1.09,0.60,113.36,0.30,4.74,3.19,261.00,0.42,5.63,3.49,172.70,-0.32,7.66,3.46,84.38,0.62,5.67,2.39,100.41,0.27,4.13,2.91
2013-Agosto,88.75,0.05,5.31,3.64,108.87,0.08,0.99,0.68,113.52,0.14,4.42,3.33,262.00,0.38,5.39,3.89,173.59,0.51,7.94,3.99,84.94,0.66,5.30,3.07,100.68,0.27,3.90,3.18
2013-Setiembre,88.86,0.13,5.37,3.77,109.06,0.17,0.76,0.86,113.85,0.29,4.21,3.63,262.80,0.31,4.95,4.20,173.78,0.11,7.35,4.11,85.35,0.49,5.13,3.57,100.74,0.07,3.90,3.25
2013-Octubre,88.19,-0.76,4.11,2.98,108.91,-0.14,0.54,0.72,113.82,-0.03,4.15,3.60,263.10,0.11,4.61,4.32,173.78,0,6.83,4.10,85.23,-0.14,4.74,3.43,100.88,0.13,3.89,3.39
2013-Noviembre,88.33,0.17,3.44,3.16,109.00,0.08,0.76,0.80,114.33,0.45,4.63,4.07,263.80,0.27,4.72,4.60,174.57,0.45,6.29,4.58,85.29,0.06,4.14,3.49,100.95,0.07,3.82,3.46
2013-Diciembre,88.78,0.51,3.68,3.68,108.98,-0.02,0.79,0.79,114.68,0.31,4.39,4.39,264.60,0.30,4.92,4.92,176.40,1.05,5.67,5.67,85.60,0.37,3.88,3.88,101.22,0.27,3.74,3.74
2014-Enero,89.45,0.75,3.10,0.75,109.51,0.49,0.85,0.49,114.97,0.25,4.14,0.25,268.60,1.51,6.00,1.51,177.68,0.73,5.19,0.73,85.80,0.23,2.82,0.23,101.42,0.20,3.37,0.20
2014-Febrero,90.04,0.66,2.74,1.42,109.72,0.19,0.61,0.68,115.20,0.20,3.50,0.45,270.80,0.82,5.74,2.34,178.86,0.66,5.25,1.39,86.10,0.34,2.84,0.58,101.96,0.53,3.35,0.73
2014-Marzo,90.59,0.62,3.26,2.04,109.99,0.25,0.41,0.93,115.46,0.23,3.25,0.68,272.40,0.59,5.79,2.95,178.84,-0.01,5.10,1.38,86.54,0.52,2.99,1.10,102.40,0.43,3.38,1.17
2014-Abril,91.63,1.14,3.68,3.20,109.47,-0.47,0.57,0.45,115.68,0.19,3.27,0.87,273.50,0.40,5.97,3.36,179.63,0.44,4.90,1.83,86.91,0.43,3.49,1.53,102.90,0.49,3.53,1.66
2014-Mayo,92.11,0.53,4.21,3.75,109.72,0.23,0.95,0.68,115.94,0.22,3.22,1.10,274.90,0.51,6.22,3.89,181.32,0.94,4.85,2.79,86.93,0.02,3.70,1.55,103.04,0.13,3.25,1.80
2014-Junio,92.46,0.38,4.59,4.14,110.15,0.39,1.14,1.07,116.56,0.53,3.13,1.64,276.10,0.44,6.23,4.35,183.74,1.33,6.05,4.16,86.94,0.02,3.68,1.56,103.50,0.45,3.36,2.26
2014-Julio,93.30,0.91,5.19,5.09,110.77,0.56,1.83,1.64,117.23,0.57,3.41,2.22,278.20,0.76,6.59,5.14,184.68,0.51,6.94,4.69,87.26,0.36,3.41,1.93,102.60,-0.87,2.19,1.37
2014-Agosto,93.61,0.33,5.49,5.44,111.04,0.24,1.99,1.89,117.72,0.42,3.70,2.65,278.60,0.14,6.34,5.29,185.27,0.32,6.73,5.03,87.60,0.39,3.13,2.33,102.77,0.16,2.08,1.53
2014-Setiembre,93.49,-0.14,5.20,5.30,110.91,-0.12,1.70,1.77,117.78,0.05,3.45,2.70,278.90,0.11,6.13,5.40,185.07,-0.11,6.49,4.91,87.77,0.19,2.83,2.53,103.11,0.33,2.35,1.87
2014-Octubre,93.21,-0.29,5.70,4.99,110.97,0.05,1.89,1.83,117.96,0.15,3.64,2.86,279.70,0.29,6.31,5.71,185.39,0.17,6.68,5.10,87.69,-0.08,2.88,2.44,103.00,-0.10,2.10,1.76
2014-Noviembre,93.53,0.34,5.89,5.35,110.40,-0.51,1.28,1.30,118.19,0.19,3.38,3.06,280.70,0.36,6.41,6.08,187.96,1.39,7.67,6.55,87.57,-0.14,2.68,2.30,102.60,-0.39,1.64,1.37
2014-Diciembre,93.33,-0.21,5.13,5.13,109.50,-0.82,0.48,0.48,118.06,-0.11,2.95,2.95,280.00,-0.25,5.82,5.82,187.83,-0.07,6.48,6.48,86.96,-0.70,1.58,1.58,102.23,-0.36,1.01,1.01
2015-Enero,93.37,0.04,4.39,0.04,108.69,-0.74,-0.75,-0.74,117.64,-0.36,2.32,-0.36,278.90,-0.39,3.83,-0.39,187.36,-0.25,5.45,-0.25,86.79,-0.19,1.16,-0.19,102.30,0.06,0.87,0.06
2015-Febrero,93.22,-0.16,3.53,-0.13,108.56,-0.12,-1.06,-0.86,118.01,0.31,2.44,-0.04,280.70,0.65,3.66,0.25,188.71,0.72,5.51,0.47,86.97,0.20,1.02,0.02,101.50,-0.78,-0.45,-0.72
2015-Marzo,93.35,0.15,3.05,0.02,109.10,0.50,-0.81,-0.37,118.26,0.21,2.43,0.17,282.60,0.68,3.74,0.93,189.44,0.38,5.92,0.85,87.10,0.14,0.64,0.16,102.40,0.89,0,0.16
2015-Abril,93.28,-0.08,1.81,-0.06,109.11,0.01,-0.33,-0.36,118.66,0.34,2.58,0.51,283.30,0.25,3.58,1.18,189.82,0.20,5.67,1.06,86.88,-0.25,-0.04,-0.09,102.90,0.49,0,0.65
2015-Mayo,93.01,-0.29,0.97,-0.35,109.33,0.20,-0.36,-0.16,118.90,0.20,2.55,0.71,284.50,0.42,3.49,1.61,190.79,0.51,5.22,1.58,87.13,0.29,0.23,0.19,103.40,0.49,0.35,1.14
2015-Junio,93.40,0.43,1.02,0.08,109.24,-0.08,-0.83,-0.24,119.34,0.37,2.39,1.08,286.10,0.56,3.62,2.18,190.76,-0.02,3.82,1.56,87.48,0.41,0.62,0.60,103.50,0.10,0,1.24
2015-Julio,93.00,-0.43,-0.32,-0.35,109.16,-0.07,-1.45,-0.31,119.95,0.51,2.32,1.60,287.10,0.35,3.20,2.54,190.37,-0.21,3.08,1.35,87.69,0.24,0.50,0.85,103.60,0.10,0.97,1.34
2015-Agosto,92.92,-0.09,-0.74,-0.44,108.82,-0.31,-2.00,-0.62,120.03,0.07,1.96,1.67,287.20,0.03,3.09,2.57,190.36,-0.01,2.75,1.34,87.97,0.32,0.43,1.17,103.20,-0.39,0.42,0.94
2015-Setiembre,92.68,-0.26,-0.86,-0.70,108.41,-0.38,-2.25,-1.00,119.99,-0.03,1.88,1.63,286.60,-0.21,2.76,2.36,190.19,-0.08,2.77,1.26,88.11,0.16,0.39,1.33,102.70,-0.48,-0.39,0.46
2015-Octubre,92.42,-0.28,-0.86,-0.98,110.76,2.17,-0.19,1.15,120.59,0.50,2.23,2.14,286.80,0.07,2.54,2.43,191.01,0.43,3.03,1.69,88.77,0.74,1.23,2.08,102.60,-0.10,-0.39,0.36
2015-Noviembre,92.41,-0.01,-1.20,-0.99,110.69,-0.06,0.26,1.09,121.16,0.47,2.51,2.63,286.60,-0.07,2.10,2.36,191.69,0.36,1.99,2.06,88.91,0.17,1.54,2.25,102.60,0,0,0.36
2015-Diciembre,92.58,0.19,-0.81,-0.81,110.61,-0.07,1.01,1.01,121.68,0.43,3.07,3.07,286.60,0,2.36,2.36,193.56,0.98,3.05,3.05,89.00,0.09,2.34,2.34,102.50,-0.10,0.26,0.26
2016-Enero,93.21,0.68,-0.17,0.68,110.67,0.05,1.82,0.05,122.79,0.91,4.38,0.91,287.50,0.31,3.08,0.31,193.34,-0.11,3.19,-0.11,88.99,-0.01,2.53,-0.01,102.60,0.10,0.29,0.10
2016-Febrero,93.19,-0.02,-0.03,0.65,110.37,-0.27,1.67,-0.22,123.05,0.21,4.27,1.13,288.90,0.49,2.92,0.80,195.13,0.93,3.40,0.81,88.49,-0.56,1.74,-0.57,102.70,0.10,1.18,0.20
2016-Marzo,92.34,-0.91,-1.09,-0.26,110.32,-0.05,1.12,-0.26,123.30,0.20,4.26,1.33,289.60,0.24,2.48,1.05,196.36,0.63,3.66,1.45,88.48,-0.01,1.59,-0.58,103.00,0.29,0.59,0.49
2016-Abril,92.42,0.09,-0.92,-0.17,110.05,-0.24,0.86,-0.51,123.51,0.17,4.09,1.50,290.20,0.21,2.44,1.26,196.64,0.14,3.60,1.59,88.40,-0.09,1.75,-0.67,103.50,0.49,0.58,0.98
2016-Mayo,92.60,0.19,-0.43,0.03,110.13,0.07,0.73,-0.43,124.08,0.46,4.36,1.97,291.20,0.34,2.36,1.61,197.76,0.57,3.65,2.17,88.62,0.25,1.71,-0.42,103.70,0.19,0.29,1.17
2016-Junio,92.58,-0.02,-0.88,0.01,110.24,0.10,0.92,-0.33,124.63,0.44,4.43,2.42,293.10,0.65,2.45,2.27,197.56,-0.10,3.56,2.06,89.15,0.60,1.91,0.17,103.60,-0.10,0.10,1.07
2016-Julio,93.45,0.93,0.48,0.94,110.12,-0.11,0.88,-0.44,125.49,0.69,4.62,3.13,294.00,0.31,2.40,2.58,198.20,0.32,4.11,2.40,89.32,0.19,1.85,0.36,103.70,0.10,0.10,1.17
2016-Agosto,93.48,0.03,0.60,0.97,109.85,-0.25,0.95,-0.69,125.72,0.18,4.74,3.32,294.40,0.14,2.51,2.72,197.49,-0.36,3.75,2.03,89.27,-0.06,1.47,0.31,103.70,0,0.48,1.17
