fecha,ipc,m1,m0,cpi,debt,exports,rev,hydro,imae,itcer,lendrate,deprate,tpm,banana
2008-11-01,10.85,0.4264500381752967,1.3732419126547768,1.09391237236256,3.0941879891432933,-4.104595090375529,-8.371829705350997,-58.34877164824661,2.22,-10.65,2.66,5.45,7.25,21.378635256066847
2008-12-01,9.4,3.9259597146509506,2.8423587759260016,-0.02223047334046768,3.635217849232042,-4.633402102820039,-9.92982209822797,-63.79787150636034,1.75,-8.76,4.06,5.47,7.25,30.769458804720266
2009-01-01,7.88,5.174681844025386,10.560489920155725,-0.113650576831148,3.3357859852447547,-0.8288975818954825,1.6689209692197338,-58.56109773427649,-0.79,-7.75,5.59,5.5,7,25.831314217817525
2009-02-01,6.5,5.9806851734167665,-0.468674221619203,0.00846278256796395,3.230068820441012,-6.396781889893699,-17.280099260259263,-61.63044756170804,-1.63,-7.4,7,5.55,6.5,29.763589771454857
2009-03-01,5,5.664630291651562,0.06547359465667313,-0.4474784608338389,10.30379946438611,1.1911348193347493,-13.034682144219722,-76.40702178729333,2.01,-4.49,8.41,5.6,6.25,32.64376929001101
2009-04-01,3.62,5.462322137162445,2.6978127025532928,-0.5779915821649162,11.07370527153524,-13.487478845657195,-7.601826474844486,-73.86463109450085,-1.21,-1.16,9.87,5.64,5.75,28.312041551083045
2009-05-01,2.29,7.001067045082365,6.287052709205732,-1.0209555557125327,11.049904509600772,-7.492349309812152,-12.316772190158964,-80.81033832796267,-1.07,2.09,11.3,5.69,5.75,32.61133848018156
2009-06-01,0.62,9.24785470318792,7.49196928072422,-1.236791449885022,8.973300141433427,-16.95371768312537,3.690363765515592,-70.81614817230282,-0.56,3.1,13.12,5.73,5.25,52.14852447197123
2009-07-01,-0.3,9.284205486762076,5.125757946406573,-1.9781989747510664,8.882007840076689,-19.65644634037389,-7.9590092150233716,-67.97951746691284,2.29,4.5,14.24,5.68,4.75,20.40690245741379
2009-08-01,-0.73,9.14120459700456,8.679216184161298,-1.4949545348335924,9.347789767174495,-20.86505440116433,-9.628603532924362,-50.74312029475277,0.58,8.07,14.79,5.66,4.75,16.748306861806217
2009-09-01,0.03,8.846743214256136,9.190282392514604,-1.3875246181172862,10.053547756538704,-14.891527033037466,-5.199903772184822,-42.41257903086692,1.29,8.77,13.94,5.66,4.5,12.661826433655854
2009-10-01,-0.65,7.617813090712033,7.187041413112105,-0.22421947830295608,8.66743579295619,-0.8215914116789236,0.5822432751433126,-10.019264881637024,2.46,13.74,14.68,5.66,4.5,1.382795449814633
2009-11-01,-0.61,8.14826979813148,10.599950281066484,1.896489585471972,9.518633338413451,3.770457040491859,0.4036083070494634,41.1332478873681,0.39,14.04,14.38,5.65,4.5,-12.29626873673162
2009-12-01,-0.28,6.7205358707708385,8.394046574217917,2.7752542063598895,11.725274780112828,17.369853264045965,10.804707061104056,39.48780469772144,3.72,13.13,13.89,5.61,4.5,-25.48076297114807
2010-01-01,1.43,8.664318939305815,6.93279289733848,2.5873489607178612,18.81717967015817,13.115043911878033,5.322921907855971,41.84743871516812,2.06,10.12,11.92,5.62,4.5,-14.4008979300704
2010-02-01,2.48,6.195869816655986,11.59524382571906,2.128521749898838,19.070165736516387,3.2173919098727133,9.94405543693917,35.988940307250594,2.53,5.77,10.75,5.62,4.5,-19.46428534145417
2010-03-01,3.93,5.74913370535608,10.971450098389646,2.260430128615809,11.73245778306562,28.240135403040867,10.421783647048777,50.86584727203247,4.4,1.75,9.19,5.62,4.5,-28.248509356408036
2010-04-01,3.75,7.722120745878414,12.92052179465113,2.1827739611836705,12.679208420610344,11.06761113503083,10.793686911563327,41.038890413296336,2.15,0.46,9.32,5.58,4.5,-13.667974211316205
2010-05-01,3.51,6.427117351378797,9.116143979912827,1.983742011461409,12.19090559166922,21.352953205292646,9.6124254291869,30.215443489993277,3.02,-1.53,9.52,5.53,4.5,-19.65837893649054
2010-06-01,4.07,5.582136494003187,2.104550959177054,1.1153177381444834,12.469459902866651,18.48910138042026,7.696255057122947,6.000975195642866,4.26,-3.22,8.93,5.5,4.5,-20.488871262250807
2010-07-01,4.12,5.140186376891975,9.316820059691544,1.3318695897958754,13.049112518000072,11.292614051845984,8.473532552871532,10.141128626549634,1.07,-3.3,8.81,5.44,4.5,-6.094591721414222
2010-08-01,4.1,6.084158391400685,6.440716475351493,1.1436132834318435,12.994409553524378,11.842231968007331,19.646125925535163,3.983696460336717,1.68,-4.37,8.81,5.42,4.5,3.826830180761043
2010-09-01,3.76,7.665641923342292,4.381726505447503,1.1121053678139423,12.749262713716192,10.027395124090788,11.898731737713051,4.6272606194698085,2.68,-3.61,9.17,5.42,4.5,-0.8311235842857201
2010-10-01,4.51,8.047807486141068,7.670776216856368,1.1599417381349395,13.483575400762682,5.323253222863755,0.04405001042933065,-1.3652089168327386,1.88,-4.24,8.33,5.41,4.5,9.405757710487173
2010-11-01,5.26,8.20650858603873,6.373809726728474,1.0787057695652358,12.53139850006324,17.81913085424769,17.299611628430966,9.327022586656051,3.88,-5.36,7.55,5.4,4.5,14.880960326018933
2010-12-01,5.39,7.394641065392804,4.687132426313312,1.427554797970387,12.11016429433247,33.39231542517016,8.56093185384843,22.08122460231232,3.91,-6.14,7.46,5.34,4.5,21.502882368525444
2011-01-01,4.9,7.165930380212515,9.236125015619834,1.6864820984663351,5.38484775998942,13.107008241310147,6.390767460537283,14.992792753904371,4.21,-6.56,7.99,5.35,4.5,19.414685256900377
2011-02-01,5.23,6.702827882779516,12.492084520704871,2.1026370112833703,5.558599438414369,37.03546547774543,10.89499149012516,33.50834680619235,4.81,-5.34,7.73,5.33,4.5,23.46822321886597
2011-03-01,5,8.811961847427341,8.912980060116382,2.5855268252593433,5.473733763384736,19.842311224972953,34.4778770428297,31.169339014574504,3,-4.82,7.97,5.3,4.75,33.85926514128528
2011-04-01,5.76,7.712210090978466,7.075851159159718,3.0308370223773196,4.273925372246801,28.168223196282316,7.382191449423026,38.7007588915842,4.38,-5.5,7.26,5.27,4.75,18.811115294594316
2011-05-01,6.39,11.522077762870886,9.626635048743104,3.4004941179468062,4.858233474121043,17.38398176651952,20.923834464659663,44.113753871539174,4.44,-4.07,6.56,5.28,4.75,24.07729692223768
2011-06-01,6.42,8.841396301234816,12.500627849549772,3.442382405719613,2.0286286553128363,15.70106028427487,23.476183465383382,39.91515934788028,4.7,-2.56,6.55,5.26,4.75,18.631740054621822
2011-07-01,7.04,10.8628684223822,11.67810768698967,3.517292591450172,1.812517645384304,18.39006643191752,8.572382476078921,41.068980002850886,5.25,-3.54,5.91,5.24,5,16.316992409581044
2011-08-01,7.63,10.105331721635125,13.589075463466216,3.68621264761737,1.697914000633638,30.80437382163792,10.109310617889378,33.56861348591691,6.02,-3.96,5.41,5.25,5,7.142741475746472
2011-09-01,7.25,9.18046755619084,11.69251719750104,3.7417373621400074,1.1525313432679596,29.746300205651277,18.19029775339525,35.15985095879523,5.93,-5.62,5.84,5.24,5.5,12.8873020013339
2011-10-01,6.65,8.118912116299803,8.901314392241488,3.461655459657998,5.350881677459007,11.628225087370224,15.467680459756039,23.25193116030162,3.47,-6.66,6.45,5.24,5.5,4.9950930405394445
2011-11-01,6.05,7.972277774478087,3.845207963596131,3.3932062617840764,-0.7890896401681502,20.63548930838266,13.377812104368124,22.67430023571615,4.93,-6.06,7.07,5.25,5.5,3.477770592356144
2011-12-01,6.2,7.335050687674283,6.3825794749401865,3.01612114209604,0.7683459339990151,7.730925220529716,3.16483757941306,13.5768609048605,2.54,-6.2,6.94,5.18,5.5,-3.806687992383395
2012-01-01,5.44,7.162603931703693,9.524700600102245,2.9643908697416066,0.7025487203540237,-2.7827421653575435,11.569180720784187,16.46079655889441,3.14,-4.75,7.71,5.2,5.5,-2.991223971325141
2012-02-01,5.17,7.170496771079193,0.7300343256030573,2.856975448285848,0.21422088081468615,-4.680013582414055,17.004280059524124,15.89906068356184,4.02,-2.61,7.91,5.2,5.5,-5.1869936424825624
