Secretaría Ejecutiva del Consejo Monetario Centroamericano,,,,,,
Índice Mensual de la Actividad Económica,,,,,,
Unidad de medida: Niveles del índice y variaciones en porcentajes,,,,,,
Fechas,Guatemala,,,,,
,Serie original,,,Tendencia-ciclo,,
,IMAE,"IMAE, variación interanual","IMAE, variación acumulada",IMAE,"IMAE, variación interanual","IMAE, variación acumulada"
2010-Agosto,87.31,1.68,2.65,89.60,2.12,2.84
2010-Setiembre,86.92,2.68,2.65,90.11,2.29,2.78
2010-Octubre,88.77,1.88,2.57,90.68,2.66,2.76
2010-Noviembre,91.54,3.88,2.70,91.19,3.13,2.80
2010-Diciembre,98.78,3.91,2.81,91.62,3.57,2.86
2011-Enero,92.14,4.21,4.21,91.90,3.84,3.84
2011-Febrero,91.27,4.81,4.51,92.23,3.92,3.88
2011-Marzo,96.96,3.00,3.98,92.56,3.97,3.91
2011-Abril,93.59,4.38,4.08,92.93,4.14,3.97
2011-Mayo,92.20,4.44,4.15,93.25,4.44,4.06
2011-Junio,91.59,4.70,4.24,93.58,4.84,4.19
2011-Julio,92.60,5.25,4.38,93.94,5.17,4.33
2011-Agosto,92.57,6.02,4.59,94.30,5.25,4.45
2011-Setiembre,92.08,5.93,4.73,94.60,4.98,4.51
2011-Octubre,91.86,3.47,4.61,94.75,4.49,4.51
2011-Noviembre,96.06,4.93,4.64,94.78,3.94,4.45
2011-Diciembre,101.29,2.54,4.45,94.81,3.49,4.37
2012-Enero,95.03,3.14,3.14,94.90,3.26,3.26
2012-Febrero,94.94,4.02,3.58,95.19,3.21,3.24
2012-Marzo,101.09,4.27,3.82,95.55,3.22,3.23
2012-Abril,95.11,1.63,3.27,95.85,3.15,3.21
2012-Mayo,95.57,3.66,3.35,96.05,3.00,3.17
2012-Junio,94.12,2.77,3.25,96.22,2.82,3.11
2012-Julio,94.92,2.50,3.14,96.47,2.69,3.05
2012-Agosto,95.27,2.92,3.12,96.90,2.75,3.01
2012-Setiembre,94.02,2.11,3.00,97.42,2.99,3.01
2012-Octubre,96.41,4.95,3.20,97.88,3.30,3.04
2012-Noviembre,99.13,3.19,3.20,98.20,3.61,3.09
2012-Diciembre,103.96,2.64,3.15,98.46,3.85,3.15
2013-Enero,99.05,4.23,4.23,98.70,4.01,4.01
2013-Febrero,98.80,4.07,4.15,99.00,4.00,4.00
2013-Marzo,101.71,0.61,2.92,99.28,3.91,3.97
2013-Abril,101.18,6.38,3.77,99.50,3.81,3.93
2013-Mayo,99.50,4.11,3.84,99.59,3.68,3.88
2013-Junio,96.71,2.75,3.66,99.62,3.54,3.82
