"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Tipos de cambio",,,,,,
"Tipo de cambio de mercado",,,,,,
"Unidad de medida: Moneda nacional por unidad de US dólar",,,,,,
Fechas,Guatemala,
,"Tipo de cambio de compra promedio del mes","Tipo de cambio de venta promedio del mes"
2013-Julio,7.81,7.83
2013-Agosto,7.89,7.91
2013-Setiembre,7.93,7.95
2013-Octubre,7.95,7.97
2013-Noviembre,7.88,7.91
2013-Diciembre,7.85,7.87
2014-Enero,7.83,7.85
2014-Febrero,7.75,7.77
2014-Marzo,7.72,7.74
2014-Abril,7.74,7.76
2014-Mayo,7.72,7.75
2014-Junio,7.79,7.82
2014-Julio,7.76,7.79
2014-Agosto,7.79,7.81
2014-Setiembre,7.71,7.73
2014-Octubre,7.63,7.65
2014-Noviembre,7.60,7.63
2014-Diciembre,7.61,7.63
2015-Enero,7.63,7.65
2015-Febrero,7.63,7.66
2015-Marzo,7.61,7.64
2015-Abril,7.69,7.72
2015-Mayo,7.66,7.70
2015-Junio,7.63,7.66
2015-Julio,7.63,7.66
2015-Agosto,7.63,7.66
2015-Setiembre,7.67,7.70
2015-Octubre,7.66,7.69
2015-Noviembre,7.63,7.66
2015-Diciembre,7.60,7.63
2016-Enero,7.63,7.67
2016-Febrero,7.65,7.68
2016-Marzo,7.70,7.73
2016-Abril,7.71,7.75
2016-Mayo,7.63,7.66
2016-Junio,7.62,7.66
2016-Julio,7.58,7.61
2016-Agosto,7.52,7.55
2016-Setiembre,7.51,7.54
2016-Octubre,7.48,7.51
2016-Noviembre,7.49,7.52
2016-Diciembre,7.49,7.52
2017-Enero,7.50,7.53
2017-Febrero,7.39,7.42
2017-Marzo,7.34,7.37
2017-Abril,7.32,7.35
2017-Mayo,7.32,7.35
2017-Junio,7.32,7.35
2017-Julio,7.28,7.32
2017-Agosto,7.26,7.29
2017-Setiembre,7.29,7.32
2017-Octubre,7.32,7.36
2017-Noviembre,7.31,7.35
2017-Diciembre,7.32,7.36
2018-Enero,7.33,7.36
2018-Febrero,7.34,7.38
2018-Marzo,7.38,7.41
2018-Abril,7.39,7.42
2018-Mayo,7.43,7.46
2018-Junio,7.47,7.50
2018-Julio,7.47,7.50
2018-Agosto,7.49,7.52
2018-Setiembre,7.65,7.68
2018-Octubre,7.71,7.74
2018-Noviembre,7.68,7.71
2018-Diciembre,7.71,7.75
2019-Enero,7.71,7.75
2019-Febrero,7.71,7.75
2019-Marzo,7.67,7.71
2019-Abril,7.62,7.66
2019-Mayo,7.65,7.69
2019-Junio,7.68,7.72
2019-Julio,7.66,7.69
2019-Agosto,7.65,7.69
2019-Setiembre,7.69,7.73
2019-Octubre,7.74,7.77
2019-Noviembre,7.68,7.72
2019-Diciembre,7.67,7.70
2020-Enero,7.67,7.71
2020-Febrero,7.63,7.67
2020-Marzo,7.67,7.71
2020-Abril,7.69,7.73
2020-Mayo,7.68,7.71
2020-Junio,7.68,7.71
2020-Julio,7.68,7.71
2020-Agosto,7.69,7.72
2020-Setiembre,7.74,7.78
2020-Octubre,7.76,7.80
2020-Noviembre,7.77,7.81
2020-Diciembre,7.78,7.82
2021-Enero,7.77,7.81
2021-Febrero,7.72,7.76
2021-Marzo,7.70,7.74
2021-Abril,7.70,7.73
2021-Mayo,7.70,7.73
2021-Junio,7.72,7.76
2021-Julio,7.73,7.76
2021-Agosto,7.72,7.75
2021-Setiembre,7.71,7.75
2021-Octubre,7.71,7.75
2021-Noviembre,7.71,7.75
2021-Diciembre,7.71,7.74
2022-Enero,7.68,7.72
2022-Febrero,7.68,7.72
