"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Deuda pública",,,,,,
"Deuda pública mensual interna y externa y su relación con el PIB",,,,,,
"Unidad de medida: Millones de US dólares.  Relación respecto al PIB, en porcentajes.",,,,,,
Fechas,Guatemala,,,,,
,"Deuda total","Deuda interna bruta - ME","Deuda externa","Deuda total / PIB","Deuda interna bruta / PIB","Deuda externa / PIB"
2005-Junio,7920.04,4154.14,3765.90,28.10,14.74,13.36
2005-Julio,7997.13,4237.93,3759.20,28.37,15.03,13.34
2005-Agosto,8164.16,4405.76,3758.40,28.96,15.63,13.33
2005-Setiembre,8195.30,4444.40,3750.90,29.07,15.77,13.31
2005-Octubre,8094.50,4361.00,3733.50,28.72,15.47,13.25
2005-Noviembre,8156.29,4438.09,3718.20,28.94,15.74,13.19
2005-Diciembre,8121.28,4398.08,3723.20,28.81,15.60,13.21
2006-Enero,8600.55,4566.95,4033.60,27.47,14.59,12.88
2006-Febrero,8515.75,4490.85,4024.90,27.20,14.34,12.86
2006-Marzo,8565.26,4499.56,4065.70,27.36,14.37,12.99
2006-Abril,8481.52,4417.92,4063.60,27.09,14.11,12.98
2006-Mayo,8611.03,4534.23,4076.80,27.50,14.48,13.02
2006-Junio,8444.80,4381.60,4063.20,26.97,14.00,12.98
2006-Julio,8613.48,4550.08,4063.40,27.51,14.53,12.98
2006-Agosto,8435.82,4504.32,3931.50,26.94,14.39,12.56
2006-Setiembre,8564.37,4660.57,3903.80,27.36,14.89,12.47
2006-Octubre,8312.89,4413.79,3899.10,26.55,14.10,12.45
2006-Noviembre,8603.21,4694.51,3908.70,27.48,14.99,12.48
2006-Diciembre,8615.59,4657.29,3958.30,27.52,14.88,12.64
2007-Enero,6974.36,4651.60,3952.50,19.91,13.28,11.28
2007-Febrero,6856.76,4539.28,3954.50,19.57,12.96,11.29
2007-Marzo,7125.59,4634.61,4141.00,20.34,13.23,11.82
2007-Abril,7146.29,4624.30,4162.60,20.40,13.20,11.88
2007-Mayo,7128.47,4656.79,4152.80,20.35,13.29,11.85
2007-Junio,7205.02,4530.46,4352.50,20.57,12.93,12.42
2007-Julio,7277.09,4608.29,4360.64,20.77,13.15,12.45
2007-Agosto,7238.56,4744.60,4206.03,20.66,13.54,12.01
2007-Setiembre,7222.00,4743.34,4206.90,20.61,13.54,12.01
2007-Octubre,7226.99,4758.49,4237.77,20.63,13.58,12.10
2007-Noviembre,7306.90,4856.54,4234.77,20.86,13.86,12.09
2007-Diciembre,7105.94,4699.22,4225.98,20.28,13.41,12.06
2008-Enero,7142.35,4734.39,4213.09,17.74,11.76,10.47
2008-Febrero,7056.55,4735.11,4192.76,17.53,11.76,10.42
2008-Marzo,7195.56,4918.96,4194.28,17.87,12.22,10.42
2008-Abril,7149.37,4954.45,4169.90,17.76,12.31,10.36
2008-Mayo,7326.94,5141.09,4181.10,18.20,12.77,10.39
2008-Junio,7392.24,4989.74,4373.78,18.36,12.40,10.86
2008-Julio,7596.58,5229.85,4355.50,18.87,12.99,10.82
2008-Agosto,7445.13,5114.49,4323.50,18.49,12.70,10.74
2008-Setiembre,7537.80,5221.30,4308.80,18.72,12.97,10.70
2008-Octubre,7642.73,5261.78,4357.60,18.99,13.07,10.82
2008-Noviembre,7696.72,5294.71,4367.90,19.12,13.15,10.85
2008-Diciembre,7834.92,5370.29,4382.40,19.46,13.34,10.89
2009-Enero,7991.87,5526.36,4356.00,21.04,14.55,11.47
2009-Febrero,7846.71,5396.64,4330.40,20.66,14.21,11.40
2009-Marzo,8229.57,5443.88,4649.50,21.67,14.33,12.24
2009-Abril,8178.25,5383.58,4658.20,21.53,14.17,12.26
2009-Mayo,8188.24,5397.07,4669.60,21.56,14.21,12.29
2009-Junio,8329.08,5391.36,4784.40,21.93,14.19,12.60
2009-Julio,8393.76,5469.17,4760.10,22.10,14.40,12.53
2009-Agosto,8198.56,5288.78,4747.10,21.59,13.92,12.50
2009-Setiembre,8252.62,5324.67,4764.50,21.73,14.02,12.54
2009-Octubre,8317.32,5394.15,4752.10,21.90,14.20,12.51
2009-Noviembre,8397.02,5457.36,4804.04,22.11,14.37,12.65
2009-Diciembre,8552.94,5442.24,4927.62,22.52,14.33,12.97
2010-Enero,9110.35,5705.88,5257.87,21.95,13.75,12.67
2010-Febrero,9208.15,5862.82,5240.21,22.18,14.12,12.62
2010-Marzo,9289.86,6014.49,5228.29,22.38,14.49,12.60
2010-Abril,9366.46,6039.64,5287.92,22.56,14.55,12.74
2010-Mayo,9396.90,6108.86,5275.03,22.64,14.72,12.71
2010-Junio,9504.43,6080.30,5419.78,22.90,14.65,13.06
2010-Julio,9576.02,6293.06,5423.60,23.07,15.16,13.07
2010-Agosto,9584.97,6273.30,5405.83,23.09,15.11,13.02
2010-Setiembre,9678.11,6348.55,5412.36,23.32,15.29,13.04
2010-Octubre,9662.17,6352.79,5438.06,23.28,15.30,13.10
2010-Noviembre,9792.19,6508.17,5445.40,23.59,15.68,13.12
2010-Diciembre,10150.36,6693.34,5562.00,24.45,16.13,13.40
2011-Enero,10224.88,6848.69,5548.76,21.55,14.43,11.69
