"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Comercio exterior",,,,,,
"Exportación de café, banano y azúcar",,,,,,
"Unidad de medida: Valor en millones de US dólares. Volumen en miles de: café en quintales (QQ), banano en toneladas métricas (T) y azúcar en kilogramos (KG). Precio promedio en US$/QQ, US$/T y US$/KG",,,,,,
Fechas,Guatemala,,
,"Café valor exportado","Banano valor exportado","Azúcar valor exportado"
2019-Enero,39.31,67.34,34.50
2019-Febrero,67.15,63.24,44.64
2019-Marzo,78.58,85.39,92.05
2019-Abril,82.12,66.45,71.52
2019-Mayo,97.50,65.61,55.78
2019-Junio,88.78,59.04,60.31
2019-Julio,70.51,73.71,46.68
2019-Agosto,54.45,77.83,65.64
2019-Setiembre,37.38,75.23,45.41
2019-Octubre,13.92,79.15,63.88
2019-Noviembre,10.76,58.75,40.85
2019-Diciembre,21.94,60.20,73.33
2020-Enero,50.68,64.91,60.85
2020-Febrero,67.05,73.08,58.43
2020-Marzo,74.31,82.96,81.12
2020-Abril,105.60,66.94,87.78
2020-Mayo,90.90,64.12,76.29
2020-Junio,78.94,61.64,30.79
2020-Julio,65.30,72.81,27.44
2020-Agosto,41.95,72.81,24.55
2020-Setiembre,34.68,78.03,23.26
2020-Octubre,15.67,66.85,24.85
2020-Noviembre,8.15,55.23,7.94
2020-Diciembre,17.34,53.68,73.55
2021-Enero,40.44,64.35,84.10
2021-Febrero,62.15,64.09,63.27
