fecha,tipo_de_cambio_de_compra_promedio_del_mes,tipo_de_cambio_de_venta_promedio_del_mes,ipc_variacion_interanual,cafe_valor_exportado,banano_valor_exportado,azucar_valor_exportado,deuda_total_pib,deuda_interna_bruta_pib,deuda_externa_pib,tasa_de_interes_activa_nominal_en_mn,tasa_de_interes_pasiva_nominal_en_mn,tasa_de_interes_activa_real_en_mn,tasa_de_interes_pasiva_real_en_mn,itcer_con_usa_variacion_interanual,itcer_global_variacion_interanual,itcer_con_la_region_capard_variacion_interanual,itcer_con_el_resto_del_mundo_variacion_interanual,imae_variacion_interanual,imae_variacion_interanual_2,base_monetaria_amplia,base_monetaria_restringida,agregado_monetario_m2,agregado_monetario_m1,exportaciones_totales,tasa_de_politica_monetaria,hidrocarburos_valor_importado
2010-11-01,7.99,8.02,5.26,51.97869871987946,11.601932473371246,-132.42612506995482,23.59,15.68,13.12,13.21,5.4,7.55,0.13,-7.4,-5.36,-3.14,-6.12,3.88,3.13,4.14475753194079,6.373809726728474,9.090996434236942,8.20650858603873,17.81913085424769,4.5,34.8263526892878
2010-12-01,7.96,7.99,5.39,39.16316148468133,1.3485244389678464,38.57653694094472,24.45,16.13,13.4,13.25,5.34,7.46,-0.05,-7.8,-6.14,-3.49,-7.03,3.91,3.57,1.1690342585287894,4.687132426313312,8.57539192861072,7.394641065392804,33.39231542517016,4.5,23.948516661325403
2011-01-01,7.94,7.96,4.9,27.02995374615078,-19.740498939137563,-15.352483230500535,21.55,14.43,11.69,13.28,5.35,7.99,0.43,-7.94,-6.56,-4.28,-7.28,4.21,3.84,8.681100964883548,9.236125015619834,8.876717233392917,7.165930380212515,13.107008241310147,4.5,37.23113200867347
2011-02-01,7.79,7.82,5.23,41.189658097703585,22.95946790290211,109.78174622235777,22.25,15.31,11.68,13.37,5.33,7.73,0.09,-7.05,-5.34,-3.99,-5.77,4.81,3.92,5.302359464685935,12.492084520704871,9.093510409252481,6.702827882779516,37.03546547774543,4.5,15.501844250042662
2011-03-01,7.69,7.72,5,46.879536675647685,25.04338185711621,-52.095223471162285,22.87,16.08,11.64,13.37,5.3,7.97,0.29,-6.1,-4.82,-3.75,-5.16,3,3.97,7.298246609421533,8.912980060116382,9.996786827035287,8.811961847427341,19.842311224972953,4.75,59.23765751753045
2011-04-01,7.6,7.63,5.76,55.424961614821555,13.768940277318631,-10.086931321432235,22.78,16.12,11.63,13.44,5.27,7.26,-0.46,-7.21,-5.5,-4.61,-5.79,4.38,4.14,10.233387825412521,7.075851159159718,9.965675108195349,7.712210090978466,28.168223196282316,4.75,-0.928962660666599
2011-05-01,7.65,7.67,6.39,60.9319967423331,44.06687433011442,-98.20432137070925,23.31,16.49,11.67,13.37,5.28,6.56,-1.05,-6.77,-4.07,-3.83,-4.15,4.44,4.44,10.83037422982045,9.626635048743104,11.597387992799035,11.522077762870886,17.38398176651952,4.75,51.1243291100036
2011-06-01,7.76,7.8,6.42,61.948960814359744,66.10168308645856,-130.885675214972,23.4,16.64,11.66,13.39,5.26,6.55,-1.09,-5.53,-2.56,-2.4,-2.61,4.7,4.84,5.641497581368959,12.500627849549772,10.305081228460011,8.841396301234816,15.70106028427487,4.75,28.15699847320614
2011-07-01,7.74,7.77,7.04,40.20227639171914,19.386902921872682,-29.704150821016874,23.82,17.06,11.64,13.37,5.24,5.91,-1.68,-6.2,-3.54,-3.52,-3.54,5.25,5.17,10.076846485914182,11.67810768698967,11.439501930440343,10.8628684223822,18.390066431917518,5,24.581915411411437
2011-08-01,7.81,7.84,7.63,51.24669864652209,44.72952298759232,-118.31904186353373,23.6,16.87,11.59,13.45,5.25,5.41,-2.21,-5.81,-3.96,-3.43,-4.13,6.02,5.25,10.74832822682179,13.589075463466216,10.865118220008263,10.105331721635125,30.80437382163792,5,38.965080432260194
