"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Comercio exterior",,,,,,
"Exportación de café, banano y azúcar",,,,,,
"Unidad de medida: Valor en millones de US dólares. Volumen en miles de: café en quintales (QQ), banano en toneladas métricas (T) y azúcar en kilogramos (KG). Precio promedio en US$/QQ, US$/T y US$/KG",,,,,,
Fechas,Guatemala,,,,,,,,
,"Café valor exportado","Café volumen exportado","Café precio promedio de exportación","Banano valor exportado","Banano volumen exportado","Banano precio promedio de exportación","Azúcar valor exportado","Azúcar volumen exportado","Azúcar precio promedio de exportación"
2018-Junio,94.09,605.36,155.42,59.94,176.42,339.76,27.07,67317.40,0.40
2018-Julio,69.74,456.37,152.82,65.84,194.09,339.23,38.16,99214.31,0.38
2018-Agosto,57.94,387.09,149.67,81.12,237.12,342.11,39.97,99513.35,0.40
2018-Setiembre,31.59,216.88,145.66,78.77,231.58,340.16,42.70,113318.04,0.38
2018-Octubre,13.98,100.85,138.62,75.16,220.32,341.12,14.26,38927.02,0.37
2018-Noviembre,9.82,78.68,124.85,62.27,182.70,340.84,26.35,73454.53,0.36
2018-Diciembre,23.00,182.81,125.80,56.35,166.42,338.60,61.39,170920.37,0.36
2019-Enero,39.31,295.26,133.14,67.34,195.23,344.95,34.50,98129.24,0.35
2019-Febrero,67.15,479.80,139.96,63.24,183.71,344.23,44.64,122586.63,0.36
2019-Marzo,78.58,549.52,143.00,85.39,248.15,344.10,92.05,276576.85,0.33
2019-Abril,82.12,565.84,145.13,66.45,193.46,343.48,71.52,203310.22,0.35
2019-Mayo,97.50,676.09,144.21,65.61,190.78,343.89,55.78,160520.33,0.35
2019-Junio,88.78,623.08,142.48,59.04,171.57,344.11,60.31,173006.24,0.35
2019-Julio,70.51,528.94,133.30,73.71,214.99,342.84,46.68,133769.39,0.35
2019-Agosto,54.45,391.60,139.04,77.83,225.84,344.65,65.64,196369.05,0.33
2019-Setiembre,37.38,282.57,132.29,75.23,215.72,348.73,45.41,134971.52,0.34
2019-Octubre,13.92,112.06,124.26,79.15,227.49,347.94,63.88,177204.97,0.36
2019-Noviembre,10.76,87.23,123.32,58.75,165.20,355.61,40.85,119979.81,0.34
2019-Diciembre,21.94,170.84,128.44,60.20,172.63,348.70,73.33,232766.31,0.32
2020-Enero,50.68,350.50,144.60,64.91,187.90,345.45,60.85,184806.60,0.33
2020-Febrero,67.05,452.40,148.20,73.08,210.90,346.49,58.40,165152.40,0.35
2020-Marzo,74.31,477.20,155.73,82.96,238.40,348.00,81.12,233185.60,0.35
2020-Abril,105.60,667.30,158.25,66.94,192.40,347.91,87.78,256983.50,0.34
2020-Mayo,90.90,553.70,164.17,64.12,184.90,346.78,76.29,235794.20,0.32
2020-Junio,78.94,506.30,155.91,61.64,177.40,347.47,30.79,84067.70,0.37
2020-Julio,65.30,399.30,163.53,72.81,210.50,345.89,27.44,76229.60,0.36
2020-Agosto,41.95,255.70,164.06,72.81,215.00,338.67,24.55,63191.60,0.39
2020-Setiembre,34.68,209.60,165.45,78.03,234.40,332.91,23.26,65510.20,0.36
2020-Octubre,15.67,103.20,151.87,66.85,198.70,336.45,24.85,70989.80,0.35
2020-Noviembre,8.15,55.90,145.80,55.23,159.00,347.36,7.94,20380.70,0.39
2020-Diciembre,17.34,118.40,146.44,53.68,156.30,343.46,73.55,201530.10,0.36
2021-Enero,40.44,273.50,147.85,64.35,163.10,394.57,84.10,225711.80,0.37
2021-Febrero,62.15,373.80,166.26,64.09,182.20,351.75,63.27,178660.80,0.35
2021-Marzo,98.93,577.40,171.34,81.49,227.10,358.81,83.32,220290.70,0.38
2021-Abril,97.24,541.50,179.57,63.49,176.30,360.12,35.07,85426.80,0.41
2021-Mayo,132.16,721.60,183.15,58.27,162.50,358.57,50.76,138101.10,0.37
2021-Junio,124.74,657.30,189.78,64.02,179.20,357.23,25.87,63537.40,0.41
2021-Julio,121.39,609.70,199.09,68.68,193.20,355.49,30.71,76748.30,0.40
2021-Agosto,89.63,437.50,204.87,82.15,235.20,349.26,28.50,76542.80,0.37
2021-Setiembre,78.78,390.20,201.89,85.94,241.70,355.57,16.35,39291.40,0.42
2021-Octubre,32.54,170.60,190.74,67.85,191.40,354.51,13.59,31710.50,0.43
2021-Noviembre,15.33,75.30,203.53,56.44,179.80,313.93,15.11,40420.00,0.37
